0	680.9	57.8	7
1	584.6	992.4	2
2	980.9	538.1	3
3	77.7	76.8	4
4	963.3	435.7	2
5	44.6	574.4	1
6	17.5	111.9	5
7	712.4	316.2	5
8	357.5	342.5	7
9	189.1	954.1	6
10	648.6	176.6	2
11	223.4	56.5	6
12	93.5	266.8	2
13	25.5	788.4	7
14	176.3	707.7	8
15	734.9	875.7	8
16	717.7	934.2	4
17	263.2	68.9	2
18	444.8	988.9	10
19	724.6	139.0	4
20	0.9	127.2	6
21	415.5	480.5	4
22	580.0	477.4	8
23	294.3	266.4	8
24	429.7	638.8	5
25	925.5	37.5	10
26	362.9	918.8	5
27	487.3	985.8	3
28	666.9	346.6	6
29	149.3	736.5	1
30	788.6	191.4	3
31	629.3	199.8	8
32	484.3	210.7	9
33	950.0	208.7	6
34	473.6	276.0	7
35	65.3	266.7	2
36	524.5	20.6	6
37	346.5	651.9	4
38	475.9	693.9	9
39	487.1	312.0	7
40	613.5	902.6	8
41	714.2	149.6	7
42	641.8	331.8	10
43	78.5	637.0	7
44	959.6	519.0	2
45	966.0	417.0	9
46	768.5	157.4	9
47	274.2	73.5	4
48	484.5	26.1	5
49	676.7	928.7	7
50	65.0	305.3	3
51	222.8	896.3	6
52	271.6	821.1	5
53	439.6	763.9	4
54	614.0	36.4	2
55	305.5	499.9	2
56	996.5	900.0	7
57	739.4	639.5	5
58	704.8	311.7	5
59	870.8	784.0	4
60	559.5	921.5	6
61	129.1	872.4	6
62	67.4	111.4	5
63	862.5	69.6	10
64	540.2	359.7	5
65	550.5	118.7	7
66	637.4	116.3	2
67	225.7	367.6	10
68	673.4	100.5	5
69	730.5	964.7	9
70	600.4	176.7	9
71	936.2	80.6	2
72	150.1	572.3	9
73	917.6	904.3	8
74	77.1	840.8	5
75	607.2	385.7	2
76	81.4	703.6	9
77	938.6	109.8	10
78	34.6	617.7	6
79	852.7	916.1	3
80	76.7	260.5	6
81	15.0	219.7	7
82	341.3	98.0	2
83	722.7	222.9	3
84	240.5	187.8	6
85	780.0	204.3	5
86	479.9	346.2	9
87	455.1	329.5	1
88	436.3	578.5	2
89	993.1	168.8	1
90	320.1	400.3	6
91	710.0	412.8	4
92	831.4	602.5	4
93	23.6	698.4	2
94	715.4	317.0	10
95	150.9	906.4	9
96	257.3	796.1	3
97	925.9	385.1	7
98	85.4	77.0	9
99	321.1	690.4	9
